Timestamp,bucket,client_throughput_gbit_per_second,server_throughput_gbit_per_second,ALLOC_PIN,ENABLE_NAGLE,INCREASE_SOCKET_BUFFERS,PIN_THREADS,THREAD_COUNT,CONNECTIONS_PER_THREAD,SERVER_ADDR,QUEUE_DEPTH,INFLIGHT_OPS,PAGE_SIZE,PORT,VERBOSE,USE_ALIGNED_ALLOCATIONS,HALF_DUPLEX_MODE,RUN_DURATION_SECONDS
2024-10-06_09-27-49,1,34.72946,34.88033,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,2,34.73613,34.75425,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,3,34.71112,34.7054,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,4,34.66726,34.68103,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,5,34.69491,34.66948,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,6,34.82658,34.82531,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,7,34.86868,34.88933,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,8,34.88176,34.87582,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,9,34.83789,34.824690000000004,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,10,34.86596,34.87666,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,11,34.8317,34.80618,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,12,34.76926,34.77736,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,13,34.81184,34.82454,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,14,34.80285,34.81819,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,15,34.77822,34.77936,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,16,34.72158,34.72137,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,17,34.72909,34.71844,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,18,34.77258,34.77361,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-27-49,19,34.74427,34.75704,0,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
